instance,sharpsat,sharpsat_tw,avg_hit.sharpsat,avg_hit.sharpsat_tw,hit_rate.sharpsat,hit_rate.sharpsat_tw
BayesianNetwork/Ace/blockmap_05_01.net.cnf,0.03,899.63,0,0,0.0,0.0
BayesianNetwork/Ace/blockmap_05_02.net.cnf,0.03,899.74,0,0,0.0,0.0
BayesianNetwork/Ace/blockmap_05_03.net.cnf,0.05,899.7199999999999,13.1667,13.8649,0.10859700000000005,0.16444400000000003
BayesianNetwork/Ace/blockmap_10_01.net.cnf,0.56,900.34,0,0,0.0,0.0
BayesianNetwork/Ace/blockmap_10_02.net.cnf,0.88,900.4699999999999,0,0,0.0,0.0
BayesianNetwork/Ace/blockmap_10_03.net.cnf,4.87,900.91,227.005,37.1709,0.162142,0.20694199999999996
BayesianNetwork/Ace/blockmap_15_01.net.cnf,3.07,903.33,0,0,0.0,0.0
BayesianNetwork/Ace/blockmap_15_02.net.cnf,4.91,903.5799999999999,0,0,0.0,0.0
BayesianNetwork/Ace/blockmap_15_03.net.cnf,31.0,908.0200000000001,864.068,48.5668,0.191647,0.242525
BayesianNetwork/Ace/blockmap_20_01.net.cnf,14.24,914.4499999999999,0,0,0.0,0.0
BayesianNetwork/Ace/blockmap_20_02.net.cnf,28.91,925.41,0,0,0.0,0.0
BayesianNetwork/Ace/blockmap_20_03.net.cnf,335.99,951.3199999999999,2011.43,58.6866,0.16668700000000003,0.265026
BayesianNetwork/Ace/blockmap_22_01.net.cnf,30.29,931.06,0,0,0.0,0.0
BayesianNetwork/Ace/blockmap_22_02.net.cnf,75.93,954.05,0,0,0.0,0.0
BayesianNetwork/Ace/blockmap_22_03.net.cnf,771.97,1032.24,1752.83,59.7251,0.18940600000000007,0.28486500000000003
BayesianNetwork/Ace/fs-01.net.cnf,0.01,899.26,2,2,0.22222200000000003,0.125
BayesianNetwork/Ace/fs-07.net.cnf,TO,TO,0.0,0.0,0.0,0.0
BayesianNetwork/Ace/fs-10.net.cnf,TO,TO,0.0,0.0,0.0,0.0
BayesianNetwork/Ace/fs-13.net.cnf,TO,TO,0.0,0.0,0.0,0.0
BayesianNetwork/Ace/fs-16.net.cnf,TO,TO,0.0,0.0,0.0,0.0
BayesianNetwork/Ace/fs-19.net.cnf,TO,TO,0.0,0.0,0.0,0.0
BayesianNetwork/Ace/fs-22.net.cnf,TO,TO,0.0,0.0,0.0,0.0
